a2ps	4.14	Any-to-PostScriptフィルター
couchdb-lucene	v1.0.2	Luceneを使用したCouchDBドキュメントの全文検索
couchpotatoserver	2.6.3	映画を自動的にダウンロードする
cowpatty	4.6	WPA-PSK、WPA2-PSKネットワークのオフライン辞書攻撃
cowsay	3.03	ASCIIアートで構成可能な話す文字
cpanminus	1.7039	CPANからモジュールを取得、解凍、ビルド、およびインストールします
cpansearch	0.2	Cで書かれたCPANモジュール検索
cpmtools	2.20	CP/Mファイルシステムにアクセスするためのツール
cpp-netlib	0.11.2	高レベルのネットワークプログラミング用のC++ライブラリ
cppcheck	1.70	CおよびC++コードの静的分析
cppcms	1.0.5	無料の高性能Web開発フレームワーク
cppformat	1.1.0	C++用のオープンソースフォーマットライブラリ
cppi	1.18	ネストを反映するようにCプリプロセッサディレクティブをインデントします
cpptest	1.1.2	C++で自動テストを処理する単体テストフレームワーク
cppunit	1.13.2	C++のユニットテストフレームワーク
cpputest	3.7.2	C/C++ベースのユニットxUnitテストフレームワーク
cproto	4.7m	入力ファイル内の関数の関数プロトタイプを生成します
cpulimit	v0.1	CPU使用量リミッター
cputhrottle	20100515	プロセスのCPU使用率を制限する
cracklib	2.9.5	LibCrackパスワードチェックライブラリ
crash	1.3.1	gdbのような構文を可能にするJava用のカーネルデバッグシェル
creduce	2.3.0	関心のあるプロパティを維持しながら、C/C++プログラムを削減します
crf++	0.58	シーケンシャルデータをセグメント化/ラベル付けするための条件付き確率場
crm114	20100106	ログまたはデータストリームの調査、並べ替え、フィルタリング、または変更
cronolog	1.6.2	Webログローテーション
crosstool-ng	1.21.0	ツールチェーンを構築するためのツール
crunch	3.6	ワードリストジェネレータ
crush-tools	20150716	区切られたテキストデータを処理するためのコマンドラインツール
cryptol	v2.2.4	暗号化アルゴリズムを指定するためのドメイン固有言語
cryptopp	5.6.2	暗号化スキームの無料のC++クラスライブラリ
crystal	v0.5.1	すべての言語、ライブラリ、フレームワークのコードジェネレータ
crystax-ndk	10.2.1	GoogleのAndroidNDKのドロップイン代替品
cscope	15.8a	ソースコードを閲覧するためのツール
csfml	2.3	CのSMFLバインディング
csmith	2.2.0	C99標準に準拠したランダムなCプログラムを生成します
cspice	65	ロボット宇宙科学ミッションのための観測幾何学システム
css-crush	v2.4.0	拡張可能なPHPベースのCSSプリプロセッサ
cssembed	0.4.5	CSSファイルへの自動データURI埋め込み
csshx	0.74	Terminal.app用のクラスターsshツール
csup	20120305	CでのCVSupの書き直し
csv-fix	1.6	CSVfixはCSVデータを操作するためのツールです
csvprintf	1.0.3	CSVファイルを解析するためのコマンドラインユーティリティ
csync	0.50.0	通常のユーザー向けに特別に設計されたファイルシンクロナイザー
ctags	5.8	ctags（1）の再実装
ctail	0.1.0	マシンの大規模なクラスター全体でテールを操作するためのツール
ctemplate	2.3	C++のテンプレート言語
ctl	1.5.2	デジタルカラーマネジメントのためのプログラミング言語
ctorrent	dnh3.3.2	BitTorrentコマンドラインクライアント
ctunnel	0.7	TCP/UDP接続用の暗号化トンネルまたはプレーントンネル
cuetools	1.4.1	.cueおよび.tocファイルのユーティリティ
cunit	2.1-3	C用の軽量単体テストフレームワーク
cups-pdf	2.6.1	CUPSによるPDFへの印刷機能
curaengine	15.04	C++ 3D印刷GCodeジェネレーター
curl	7.50.3	HTTP、HTTPS、またはFTPサーバーからファイルを取得します
curl-ca-bundle	2021-09-30	
curlish	1.22	OAuth2.0のサポートを追加するCurlラッパー
curlpp	v0.7.3	libcURLのC++ラッパー
cutter	1.2.5	CおよびC++のユニットテストフレームワーク
cuty_capt	0.0.6	WebKitを使用してWebページをベクター/ビットマップ画像に変換します
cvc4	1.4	SMTのオープンソース自動定理証明者
cvs	1.12.13	バージョン管理システム
cvs2svn	2.4.0	CVSからSubversionに変換するためのツール
cvsps	3.13	CVSからパッチセット情報を作成する
cvsutils	0.2.6	作業ディレクトリで使用するCVSユーティリティ
cvsync	0.24.19	ポータブルCVSリポジトリ同期ユーティリティ
cweb	3.64ad	C、C++、およびJava用のリテラシードキュメンテーションシステム
cxxtest	4.4	CxxTestユニットテストフレームワーク
cyassl	v3.4.8	Cで書かれた埋め込みSSLライブラリ
cyrus-sasl	2.1.22	
czmq	3.0.2	ZeroMQの高レベルCバインディング
d-bus	1.10.0	アプリケーション間通信を提供するメッセージバスシステム
daemon	0.6.4	他のプロセスをデーモンに変える
daemonize	1.7.6	UNIXデーモンとしてコマンドを実行する
daemonlogger	1.2.1	ネットワークパケットロガーとソフトタップデーモン
daemontools	0.76	UNIXサービスを管理するためのツールのコレクション
dante	1.4.1	SOCKSサーバーおよびクライアント、RFC1928および関連標準を実装
daq	2.0.6	ネットワーク侵入防止および検出システム
dar	2.4.17	バックアップディレクトリツリーとファイル
darcs	2.10.0	Haskellを介して変更を追跡する分散バージョン管理システム
dark-mode	1.0.1	コマンドラインからダークモード（OS X 10.10）を切り替えます
darkhttpd	1.10	CGIのない小さな静的ウェブサーバー
darkice	1.2	ライブオーディオストリーマー
darkstat	3.0.719.	ネットワークトラフィックアナライザ
dash	0.5.8	NetBSDのashのPOSIX準拠の子孫（Almquist SHell）
dasm	2.20.11-2014.03.04	複数の8ビットマイクロプロセッサをサポートするマクロアセンブラ
dateutils	0.3.3	財務データに焦点を当てて日付を操作するためのツール
datomic	0.9.5302	トランザクション、ストレージ、クエリを分離するデータベース
davix	0.5.0	HTTPベースのプロトコルを使用した高度なファイルI/O用のライブラリとツール
davmail	4.5.1-2303	POP/IMAP/SMTP/Caldav/Carddav/LDAP交換ゲートウェイ
dbacl	1.14.1	単純ベイズ分類器
dbus-glib	0.104	D-BusメッセージバスシステムのGLibバインディング
dc3dd	7.1.614	データのフォレンジック取得を目的としたパッチが適用されたGNUDd
dcal	0.1.0	dcal（1）はcal（1）にddate（1）はdate（1）に何であるか
dcd	v0.7.0	Dプログラミング言語のオートコンプリートプログラム
dcfldd	1.3.4-1	フォレンジックとセキュリティのためのddの拡張バージョン
dcled	2.2	夢の生意気なUSBメッセージボード用のLinuxドライバー
dcmtk	3.6.1_20150629	OFFISDICOMツールキットコマンドラインユーティリティ
dcraw	9.26.0	デジタルカメラRAW写真デコードソフトウェア
ddar	v1.0	アーカイバの複製解除
ddate	v0.2.2	退屈な通常の日付を楽しいディスコーディアの日付に変換します
ddclient	3.8.3	ダイナミックDNSエントリを更新する
ddrescue	1.20	GNUデータ回復ツール
debianutils	4.5.1	Debianに固有のその他のユーティリティ
deheader	1.2	不要なヘッダーがないかC/C++ファイルを分析します
deis	v1.10.0	独自のサーバーにアプリケーションをデプロイして管理する
deisctl	v1.10.0	Deisコントロールユーティリティ
deja-gnu	1.5.3	他のプログラムをテストするためのフレームワーク
delta	2006.08.03	プログラムでファイルを最小化して、対象の機能を分離します
denominator	4.7.1	DNSクラウドを操作するためのポータブルJavaライブラリ
dependency-check	1.3.1	OWASP依存関係チェック
depqbf	4.01	定量化されたブール式（QBF）のソルバー
desktop-file-utils	0.22	デスクトップエントリを操作するためのコマンドラインユーティリティ
detox	1.2.0	ファイル名の問題のある文字を置き換えるユーティリティ
devil	1.7.8	クロスプラットフォームの画像ライブラリ
devtodo	0.1.20	コマンドラインタスクリスト
dex	v1.0	器用なテキストエディタ
dex2jar	2.0	Android.dexおよびJava.classファイルを操作およびリバースエンジニアリングするためのツール
dfc	3.0.5	ファイルシステムのスペース/使用法のグラフと色を表示します
dfix	v0.2.2	Dソースコードの自動アップグレードツール
dfu-programmer	0.7.2	Atmelチップ用のデバイスファームウェアアップデートベースのUSBプログラマー
dfu-util	0.8	USBプログラマー
dhcpdump	1.8	デバッグ目的でDHCPトラフィックを監視する
dhcping	1.2	dhcp-requestを実行して、dhcp-serverが実行されているかどうかを確認します
dhex	0.68	差分モードなどを備えたNcursesベースの高度な16進エディタ
di	4.36	高度なdfのようなディスク情報ユーティリティ
dialog	1.2-20150528	シェルスクリプトからユーザーフレンドリーなダイアログボックスを表示する
dict	1.12.1	辞書サーバープロトコル（RFC2229）クライアント
diction	1.11	GNUの言葉遣いとスタイル
dieharder	3.31.1	乱数テストスイート
diff-pdf	v0.2	2つのPDFファイルを視覚的に比較します
diffuse	0.4.8	テキストファイルをマージおよび比較するためのグラフィカルツール
dirac	1.0.2	さまざまな解像度を対象とした汎用ビデオコーデック
dircproxy	1.2.0	IRCプロキシサーバー（別名「バウンサー」）
direnv	v2.7.0	$ PWDに基づく環境変数のロード/アンロード
dirmngr	1.1.1	証明書失効リストを管理するためのサーバー
dirt	1.0	実験サンプルの再生
disco	0.5.4	MapReduceパラダイムに基づく分散コンピューティングフレームワーク
discodex	2012-01-10	ディスコの分散インデックス
discount	2.1.8a	MarkdownのC実装
disktype	9	ディスクまたはディスクイメージのコンテンツ形式を検出する
distcc	3.2rc1	分散コンパイラクライアントおよびサーバー
distribution	v1.2.1	ターミナルでASCIIグラフィカルヒストグラムを作成する
ditaa	0.9	ASCII図を適切なビットマップグラフィックに変換する
djbdns	1.05	DJバーンスタインのDNSツール
djview4	4.10.3	DjVu画像形式のビューア
djvu2pdf	0.9.2	DjvuファイルをPDFファイルに変換するための小さなツール
djvulibre	3.5.27	DjVuビューア
dmalloc	5.5.2	システムメモリ管理ルーチンのデバッグバージョン
dmd	v2.068.2	OSX用のDプログラミング言語コンパイラ
dmtx-utils	0.7.4	データマトリックスバーコードの読み取りと書き込み
dns2tcp	0.5.2	DNSトンネルを介したTCP
dnscrypt-proxy	1.6.0	クライアントとDNSリゾルバー間の安全な通信
dnscrypt-wrapper	v0.2	名前リゾルバーにdnscryptサポートを追加するサーバー側プロキシ
dnsmap	0.30	パッシブDNSネットワークマッパー（別名サブドメインブルートフォーサー）
